 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.9579E-01
                      solve bz          0.1696E+00
                 solve beam bt          0.1982E+00
               solve plasma bt          0.1786E+00
                      solve ez          0.1997E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.6665E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2307E+00
        copy & add guard cells          0.4867E+00
                   copy slices          0.3932E-01
                      pipeline         -0.3526E+01
          deposit 2D particles          0.1512E+00
             push 2D particles          0.2137E-01
             move 2D particles          0.1835E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.2015E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.2877E-01
                   extract psi          0.0000E+00
                   arithmetics          0.4414E-01
                    write hdf5          0.6701E+00
         total simulation time          0.3980E+01
 ==================================================
