 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.8354E+00
                      solve bz          0.4627E+00
                 solve beam bt          0.1640E+01
               solve plasma bt          0.3433E+00
                      solve ez          0.3670E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.7918E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.7208E+01
        copy & add guard cells          0.3589E-01
                   copy slices          0.5180E-01
                      pipeline         -0.4165E+01
          deposit 2D particles          0.3834E+01
             push 2D particles          0.1376E+01
             move 2D particles          0.2381E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.3514E+00
             push 3D particles          0.0000E+00
             move 3D particles          0.8188E-02
                   extract psi          0.0000E+00
                   arithmetics          0.9405E-01
                    write hdf5          0.5102E+00
         total simulation time          0.2225E+02
 ==================================================
