 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.9346E+00
                      solve bz          0.4767E+00
                 solve beam bt          0.1475E+01
               solve plasma bt          0.3470E+00
                      solve ez          0.3907E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.7394E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1881E+01
        copy & add guard cells          0.3126E+01
                   copy slices          0.4825E-01
                      pipeline         -0.4165E+01
          deposit 2D particles          0.6288E+01
             push 2D particles          0.2181E+01
             move 2D particles          0.1407E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.4244E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.3852E+00
                   extract psi          0.0000E+00
                   arithmetics          0.8717E-01
                    write hdf5          0.6126E+00
         total simulation time          0.2225E+02
 ==================================================
