 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.9571E+00
                      solve bz          0.5048E+00
                 solve beam bt          0.8785E+00
               solve plasma bt          0.3672E+00
                      solve ez          0.4217E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.7814E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1447E+01
        copy & add guard cells          0.3655E+01
                   copy slices          0.4941E-01
                      pipeline         -0.4165E+01
          deposit 2D particles          0.6116E+01
             push 2D particles          0.2124E+01
             move 2D particles          0.2300E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.6076E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.3776E+00
                   extract psi          0.0000E+00
                   arithmetics          0.8797E-01
                    write hdf5          0.6121E+00
         total simulation time          0.2225E+02
 ==================================================
