 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.7657E-01
                      solve bz          0.1423E+00
                 solve beam bt          0.9738E-01
               solve plasma bt          0.1544E+00
                      solve ez          0.1526E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.2315E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2487E+00
        copy & add guard cells          0.1286E+01
                   copy slices          0.1157E+00
                      pipeline          0.2700E-04
          deposit 2D particles          0.3673E+01
             push 2D particles          0.1842E+01
             move 2D particles          0.3107E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.7028E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.5833E+00
                   extract psi          0.0000E+00
                   arithmetics          0.1018E+00
                    write hdf5          0.2844E+00
         total simulation time          0.1000E+02
 ==================================================
