 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.7794E-01
                      solve bz          0.1434E+00
                 solve beam bt          0.9957E-01
               solve plasma bt          0.1550E+00
                      solve ez          0.1548E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.2322E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1556E+00
        copy & add guard cells          0.3150E+01
                   copy slices          0.1154E+00
                      pipeline          0.3200E-04
          deposit 2D particles          0.1900E+01
             push 2D particles          0.9242E+00
             move 2D particles          0.1188E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.2635E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.5843E+00
                   extract psi          0.0000E+00
                   arithmetics          0.1036E+00
                    write hdf5          0.3645E+00
         total simulation time          0.1000E+02
 ==================================================
