 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.7901E-01
                      solve bz          0.1457E+00
                 solve beam bt          0.9633E-01
               solve plasma bt          0.1558E+00
                      solve ez          0.1553E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.2443E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1239E+00
        copy & add guard cells          0.3493E+01
                   copy slices          0.1173E+00
                      pipeline          0.3000E-04
          deposit 2D particles          0.1576E+01
             push 2D particles          0.7392E+00
             move 2D particles          0.1385E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.2346E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.5884E+00
                   extract psi          0.0000E+00
                   arithmetics          0.1036E+00
                    write hdf5          0.3643E+00
         total simulation time          0.1000E+02
 ==================================================
