 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.8782E-01
                      solve bz          0.1376E+00
                 solve beam bt          0.1260E+00
               solve plasma bt          0.1642E+00
                      solve ez          0.1821E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.5873E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.4157E+00
        copy & add guard cells          0.4262E+01
                   copy slices          0.3432E-01
                      pipeline         -0.4560E+01
          deposit 2D particles          0.7910E-01
             push 2D particles          0.2263E-02
             move 2D particles          0.1454E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.3517E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.4679E+00
                   extract psi          0.0000E+00
                   arithmetics          0.4252E-01
                    write hdf5          0.5712E+00
         total simulation time          0.8646E+01
 ==================================================
