 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.8366E-01
                      solve bz          0.1365E+00
                 solve beam bt          0.1372E+00
               solve plasma bt          0.1584E+00
                      solve ez          0.1726E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.5796E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.4165E+00
        copy & add guard cells          0.4175E+01
                   copy slices          0.3291E-01
                      pipeline         -0.4560E+01
          deposit 2D particles          0.1856E+00
             push 2D particles          0.4075E-01
             move 2D particles          0.1402E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.3283E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.4702E+00
                   extract psi          0.0000E+00
                   arithmetics          0.4531E-01
                    write hdf5          0.5712E+00
         total simulation time          0.8647E+01
 ==================================================
