 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.8483E-01
                      solve bz          0.1343E+00
                 solve beam bt          0.1635E+00
               solve plasma bt          0.1573E+00
                      solve ez          0.1632E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.5648E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.5295E+00
        copy & add guard cells          0.1452E+01
                   copy slices          0.3255E-01
                      pipeline         -0.4560E+01
          deposit 2D particles          0.2611E+01
             push 2D particles          0.8882E+00
             move 2D particles          0.5224E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.1931E+00
             push 3D particles          0.0000E+00
             move 3D particles          0.2678E+00
                   extract psi          0.0000E+00
                   arithmetics          0.4055E-01
                    write hdf5          0.4484E+00
         total simulation time          0.8643E+01
 ==================================================
