 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.9849E-01
                      solve bz          0.1787E+00
                 solve beam bt          0.1445E+00
               solve plasma bt          0.1952E+00
                      solve ez          0.1913E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.7768E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.4533E+01
        copy & add guard cells          0.2947E-01
                   copy slices          0.4781E-01
                      pipeline         -0.4806E+01
          deposit 2D particles          0.5746E+01
             push 2D particles          0.1995E+01
             move 2D particles          0.1790E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.2875E+00
             push 3D particles          0.0000E+00
             move 3D particles          0.9307E-02
                   extract psi          0.0000E+00
                   arithmetics          0.7294E-01
                    write hdf5          0.5114E+00
         total simulation time          0.1807E+02
 ==================================================
