 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.1014E+00
                      solve bz          0.1847E+00
                 solve beam bt          0.1403E+00
               solve plasma bt          0.1986E+00
                      solve ez          0.1977E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.7552E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1875E+00
        copy & add guard cells          0.2842E+01
                   copy slices          0.4815E-01
                      pipeline         -0.4805E+01
          deposit 2D particles          0.7512E+01
             push 2D particles          0.2627E+01
             move 2D particles          0.1149E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.3756E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.3576E+00
                   extract psi          0.0000E+00
                   arithmetics          0.7353E-01
                    write hdf5          0.6106E+00
         total simulation time          0.1807E+02
 ==================================================
