 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.1007E+00
                      solve bz          0.1826E+00
                 solve beam bt          0.1396E+00
               solve plasma bt          0.1974E+00
                      solve ez          0.1957E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.7479E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2724E+00
        copy & add guard cells          0.5964E+00
                   copy slices          0.4798E-01
                      pipeline         -0.4806E+01
          deposit 2D particles          0.9693E+01
             push 2D particles          0.3460E+01
             move 2D particles          0.3200E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.4344E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.3499E+00
                   extract psi          0.0000E+00
                   arithmetics          0.7279E-01
                    write hdf5          0.5457E+00
         total simulation time          0.1807E+02
 ==================================================
