 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.1698E+00
                      solve bz          0.3266E+00
                 solve beam bt          0.3216E+00
               solve plasma bt          0.3320E+00
                      solve ez          0.3376E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.1390E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2706E+01
        copy & add guard cells          0.3619E-01
                   copy slices          0.8003E-01
                      pipeline         -0.5799E+01
          deposit 2D particles          0.5339E+01
             push 2D particles          0.1770E+01
             move 2D particles          0.5265E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.2433E+00
             push 3D particles          0.0000E+00
             move 3D particles          0.3697E-02
                   extract psi          0.0000E+00
                   arithmetics          0.1038E+00
                    write hdf5          0.9740E+00
         total simulation time          0.1522E+02
 ==================================================
