 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.1744E+00
                      solve bz          0.3322E+00
                 solve beam bt          0.2731E+00
               solve plasma bt          0.3345E+00
                      solve ez          0.3429E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.1540E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2909E+00
        copy & add guard cells          0.2648E+01
                   copy slices          0.8089E-01
                      pipeline         -0.5799E+01
          deposit 2D particles          0.5357E+01
             push 2D particles          0.1755E+01
             move 2D particles          0.5446E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.7085E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.1340E+00
                   extract psi          0.0000E+00
                   arithmetics          0.1025E+00
                    write hdf5          0.1025E+01
         total simulation time          0.1521E+02
 ==================================================
