 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.6184E-01
                      solve bz          0.1099E+00
                 solve beam bt          0.4010E+00
               solve plasma bt          0.1261E+00
                      solve ez          0.1191E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.1671E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2588E+00
        copy & add guard cells          0.1114E+01
                   copy slices          0.8373E-01
                      pipeline          0.2800E-04
          deposit 2D particles          0.2624E+01
             push 2D particles          0.1328E+01
             move 2D particles          0.2990E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.6824E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.5511E+00
                   extract psi          0.0000E+00
                   arithmetics          0.7368E-01
                    write hdf5          0.1927E+00
         total simulation time          0.8157E+01
 ==================================================
