 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.6265E-01
                      solve bz          0.1123E+00
                 solve beam bt          0.4403E+00
               solve plasma bt          0.1274E+00
                      solve ez          0.1216E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.1759E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1025E+00
        copy & add guard cells          0.2703E+01
                   copy slices          0.8483E-01
                      pipeline          0.2800E-04
          deposit 2D particles          0.1187E+01
             push 2D particles          0.5579E+00
             move 2D particles          0.1082E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.2161E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.5538E+00
                   extract psi          0.0000E+00
                   arithmetics          0.7615E-01
                    write hdf5          0.2387E+00
         total simulation time          0.8157E+01
 ==================================================
